id,name,district,code
1,Swakopmund,R4D1,R4D1C1
2,Arandis,R4D1,R4D1C2
3,Henties Bay,R4D1,R4D1C3
4,Walvis Bay Urban,R4D2,R4D2C4
5,Walvis Bay Rural,R4D2,R4D2C5
6,Kuisebmond,R4D2,R4D2C6
7,Omaruru Rural,R4D3,R4D3C7
8,Omaruru Urban,R4D3,R4D3C8
9,Karibib Urban,R4D4,R4D4C9
10,Karibib Rural,R4D4,R4D4C10
11,Usakos Urban,R4D5,R4D5C11
12,Usakos Rural,R4D5,R4D5C12
13,Rehoboth Urban East,R12D6,R12D6C13
14,Rehoboth Urban West,R12D6,R12D6C14
15,Rehoboth Rural,R12D6,R12D6C15
16,Mariental Urban,R12D7,R12D7C16
17,Mariental Rural,R12D7,R12D7C17
18,Gibeon Urban,R12D8,R12D8C18
19,Gibeon Rural,R12D8,R12D8C19
20,Aranos Urban,R12D9,R12D9C20
21,Aranos Rural,R12D9,R12D9C21
22,Maltahöhe Urban,R12D10,R12D10C22
23,Maltahöhe Rural,R12D10,R12D10C23
24,Lüderitz Urban,R13D11,R13D11C24
25,Lüderitz Rural,R13D11,R13D11C25
26,Karasburg East,R13D12,R13D12C26
27,Karasburg West,R13D12,R13D12C27
28,Ariamsvlei,R13D12,R13D12C28
29,Keetmanshoop Urban,R13D13,R13D13C29
30,Keetmanshoop Rural,R13D13,R13D13C30
31,Keetmanshoop Central,R13D13,R13D13C31
32,Bethanie Urban,R13D14,R13D14C32
33,Bethanie Rural,R13D14,R13D14C33
34,Rundu Urban,R8D15,R8D15C34
35,Rundu Rural,R8D15,R8D15C35
36,Ndiyona,R8D15,R8D15C36
37,Mukwe Urban,R8D16,R8D16C37
38,Mukwe Rural,R8D16,R8D16C38
39,Mashare Urban,R8D17,R8D17C39
40,Mashare Rural,R8D17,R8D17C40
41,Nkurenkuru Urban,R11D18,R11D18C41
42,Nkurenkuru Rural,R11D18,R11D18C42
43,Mpungu Urban,R11D19,R11D19C43
44,Mpungu Rural,R11D19,R11D19C44
45,Tondoro Urban,R11D20,R11D20C45
46,Tondoro Rural,R11D20,R11D20C46
47,Windhoek East,R3D21,R3D21C47
48,Windhoek West,R3D21,R3D21C48
49,Windhoek Central,R3D21,R3D21C49
50,Khomasdal,R3D21,R3D21C50
51,Katutura,R3D21,R3D21C51
52,Groot Aub,R3D22,R3D22C52
53,Opuwo Urban,R10D23,R10D23C53
54,Opuwo Rural,R10D23,R10D23C54
55,Epupa,R10D23,R10D23C55
56,Okanguati,R10D23,R10D23C56
57,Khorixas Urban,R10D24,R10D24C57
58,Khorixas Rural,R10D24,R10D24C58
59,Outjo Urban,R10D25,R10D25C59
60,Outjo Rural,R10D25,R10D25C60
61,Sesfontein Urban,R10D26,R10D26C61
62,Sesfontein Rural,R10D26,R10D26C62
63,Kamanjab Urban,R10D27,R10D27C63
64,Kamanjab Rural,R10D27,R10D27C64
65,Eenhana Urban,R6D28,R6D28C65
66,Eenhana Rural,R6D28,R6D28C66
67,Ohangwena Urban,R6D29,R6D29C67
68,Ohangwena Rural,R6D29,R6D29C68
69,Endola,R6D29,R6D29C69
70,Okongo Urban,R6D30,R6D30C70
71,Okongo Rural,R6D30,R6D30C71
72,Oshikango Urban,R6D31,R6D31C72
73,Oshikango Rural,R6D31,R6D31C73
74,Gobabis Urban,R14D32,R14D32C74
75,Gobabis Rural,R14D32,R14D32C75
76,Otjinene Urban,R14D33,R14D33C76
77,Otjinene Rural,R14D33,R14D33C77
78,Aminuis Urban,R14D34,R14D34C78
79,Aminuis Rural,R14D34,R14D34C79
80,Epukiro Urban,R14D35,R14D35C80
81,Epukiro Rural,R14D35,R14D35C81
82,Outapi Urban,R7D36,R7D36C82
83,Outapi Rural,R7D36,R7D36C83
84,Okahao Urban,R7D37,R7D37C84
85,Okahao Rural,R7D37,R7D37C85
86,Oshikuku Urban,R7D38,R7D38C86
87,Oshikuku Rural,R7D38,R7D38C87
88,Ruacana Urban,R7D39,R7D39C88
89,Ruacana Rural,R7D39,R7D39C89
90,Tsandi Urban,R7D40,R7D40C90
91,Tsandi Rural,R7D40,R7D40C91
92,Oshakati Urban,R1D41,R1D41C92
93,Oshakati Rural,R1D41,R1D41C93
94,Ondangwa Urban,R1D42,R1D42C94
95,Ondangwa Rural,R1D42,R1D42C95
96,Uukwiyuushona Urban,R1D43,R1D43C96
97,Uukwiyuushona Rural,R1D43,R1D43C97
98,Omuthiya Urban,R5D44,R5D44C98
99,Omuthiya Rural,R5D44,R5D44C99
100,Tsumeb Urban,R5D45,R5D45C100
101,Tsumeb Rural,R5D45,R5D45C101
102,Onandjokwe Urban,R5D46,R5D46C102
103,Onandjokwe Rural,R5D46,R5D46C103
104,Otjiwarongo Urban,R2D47,R2D47C104
105,Otjiwarongo Rural,R2D47,R2D47C105
106,Okahandja Urban,R2D48,R2D48C106
107,Okahandja Rural,R2D48,R2D48C107
108,Grootfontein Urban,R2D49,R2D49C108
109,Grootfontein Rural,R2D49,R2D49C109
110,Otavi Urban,R2D50,R2D50C110
111,Otavi Rural,R2D50,R2D50C111
112,Katima Mulilo Urban,R9D51,R9D51C112
113,Katima Mulilo Rural,R9D51,R9D51C113
114,Kongola Urban,R9D52,R9D52C114
115,Kongola Rural,R9D52,R9D52C115
116,Linyanti Urban,R9D53,R9D53C116
117,Linyanti Rural,R9D53,R9D53C117