id,name,region,code
1,Swakopmund,R4,R4D1
2,Walvis Bay,R4,R4D2
3,Omaruru,R4,R4D3
4,Karibib,R4,R4D4
5,Usakos,R4,R4D5
6,Rehoboth,R12,R12D6
7,Mariental,R12,R12D7
8,Gibeon,R12,R12D8
9,Aranos,R12,R12D9
10,Maltahöhe,R12,R12D10
11,Lüderitz,R13,R13D11
12,Karasburg,R13,R13D12
13,Keetmanshoop,R13,R13D13
14,Bethanie,R13,R13D14
15,Rundu,R8,R8D15
16,Mukwe,R8,R8D16
17,Mashare,R8,R8D17
18,Nkurenkuru,R11,R11D18
19,Mpungu,R11,R11D19
20,Tondoro,R11,R11D20
21,Windhoek,R3,R3D21
22,Groot Aub,R3,R3D22
23,Opuwo,R10,R10D23
24,Khorixas,R10,R10D24
25,Outjo,R10,R10D25
26,Sesfontein,R10,R10D26
27,Kamanjab,R10,R10D27
28,Eenhana,R6,R6D28
29,Ohangwena,R6,R6D29
30,Okongo,R6,R6D30
31,Oshikango,R6,R6D31
32,Gobabis,R14,R14D32
33,Otjinene,R14,R14D33
34,Aminuis,R14,R14D34
35,Epukiro,R14,R14D35
36,Outapi,R7,R7D36
37,Okahao,R7,R7D37
38,Oshikuku,R7,R7D38
39,Ruacana,R7,R7D39
40,Tsandi,R7,R7D40
41,Oshakati,R1,R1D41
42,Ondangwa,R1,R1D42
43,Uukwiyuushona,R1,R1D43
44,Omuthiya,R5,R5D44
45,Tsumeb,R5,R5D45
46,Onandjokwe,R5,R5D46
47,Otjiwarongo,R2,R2D47
48,Okahandja,R2,R2D48
49,Grootfontein,R2,R2D49
50,Otavi,R2,R2D50
51,Katima Mulilo,R9,R9D51
52,Kongola,R9,R9D52
53,Linyanti,R9,R9D53